Time,Pick_1,Pick_2,Pick_3,Pick_4,Pick_5
1548531801830,Asylum,Contaejas,Das Toona Fish,Das Toxic Fish,spoonily
1548529443988,yogibear312,gsyicyc,Das Toona Fish,Das Toxic Fish,spoonily
1548483438291,Das Toona Fish,orchy,Das Cow Fish,Das Toxic Fish,spoonily
1548481130538,Das Toona Fish,orchy,Das Cow Fish,Das Toxic Fish,spoonily
1548478899506,Das Toona Fish,orchy,Das Cow Fish,Das Toxic Fish,spoonily
1548465652014,IBuildRoaches,Das Toona Fish,orchy,Das Cow Fish,Das Toxic Fish
1548463517407,Das Toona Fish,orchy,Das Cow Fish,Das Toxic Fish,spoonily
1548461072043,1DontKillMe1,Das Toona Fish,Das Cow Fish,Das Toxic Fish,spoonily
1548459197282,Flutterloodity,PietroDelSanto,Das Toona Fish,Das Cow Fish,Das Toxic Fish
1548456116880,MaleSupport,Das Toona Fish,Das Cow Fish,Das Toxic Fish,spoonily
1548452956067,Das Toona Fish,Das Cow Fish,spoonily,Stephn Hawking,anonymous8877
1548449967301,Das Toona Fish,Das Cow Fish,spoonily,UncleBoots,DaddieMcFly
1548117128648,Das Toona Fish,Das Cow Fish,Das Toxic Fish,SoWhere,BigLaughForL0L
1548114801373,Bjinnis,Das Toona Fish,Das Cow Fish,Das Toxic Fish,spoonily
1548112288607,Das Toona Fish,Das Cow Fish,ThatsAGoodMeme,Das Toxic Fish,spoonily
1548111203809,Das Toona Fish,spoonily,Pedroia,Commie Thot,Dildomclongshot
1548109143649,McAllen997,Das Toona Fish,spoonily,SurplusEmotion,AUG Wancky
1548106618726,PoHx95,Das Toona Fish,Skadoosh6,Das Pacito Fish,Das Toxic Fish
1547789188430,Das Toona Fish,Das Pacito Fish,Das Cow Fish,spoonily,CaIamahri
1547786979841,Das Toona Fish,Das Pacito Fish,Das Cow Fish,spoonily,CaIamahri
1547785105671,Das Toona Fish,Das Pacito Fish,Das Cow Fish,CaIamahri,LunasyG
1547783310994,Das Toona Fish,Das Pacito Fish,Das Cow Fish,CaIamahri,KittyTea
1547776980874,Das Toona Fish,orchy,Das Pacito Fish,piggymama,LunasyG
1547774258182,KingKongin,OMGITSGODZIRRAAA,Das Toona Fish,Das Pacito Fish,LunasyG
1547757840415,Das Toona Fish,orchy,Das Pacito Fish,MuneMoon,Weeaboo Flay
1547704147603,Das Toona Fish,Das Pacito Fish,Das Toxic Fish,SnazzyKatz,Engineering
1547702026425,Das Toona Fish,Das Pacito Fish,Das Toxic Fish,KittyTea,piggymama
1547699682640,Das Toona Fish,Das Pacito Fish,Das Toxic Fish,CaIamahri,KittyTea
1547693595984,Sh1naMashiro,Das Toona Fish,Das Pacito Fish,Das Toxic Fish,spoonily
1547692006897,Das Toona Fish,Das Pacito Fish,Das Toxic Fish,spoonily,BOBBY W DAT TOOL
1547688921834,Das Toona Fish,Das Toxic Fish,spoonily,LunasyG,Deva Path
1547614790825,Mister EJ,GeorgieeWw,Das Toona Fish,Das Pacito Fish,Das Toxic Fish
1547611848185,Servnt,Das Toona Fish,veorug,R,Das Pacito Fish
1547608114924,Das Toona Fish,orchy,Das Toxic Fish,spoonily,mymisslove
1547596306245,Das Toona Fish,orchy,Das Pacito Fish,Das Cow Fish,LunasyG
1547593098125,Das Toona Fish,orchy,Das Pacito Fish,Das Scurry Fish,OMG Col
1547589587124,Das Toona Fish,Das Pacito Fish,Godhooker,Das Toxic Fish,Das Scurry Fish
1547524154745,Das Toona Fish,orchy,Das Toxic Fish,spoonily,LunasyG
1547445500204,PoHx95,Das Toona Fish,Das Pacito Fish,CaIamahri,Conceall
1547365089616,Das Toona Fish,Weava,Xia Wolfslayer,ridgy14,Autumn Knight
1547363457170,midnight love,Das Toona Fish,Weava,Xia Wolfslayer,ridgy14
1545349701883,Das Toona Fish,spoonily,Das Scurry Fish,Sexual Girl,SZcalligrapher
1545347111591,Dr Oshawott,LE TATTOO,Das Toona Fish,spoonily,Das Scurry Fish
1545345100203,Das Toona Fish,spoonily,Das Scurry Fish,Koroftw,kage no kokoro
1545343162396,dillonboi,Jemes,Das Toona Fish,spoonily,Das Scurry Fish
1545341011911,Das Toona Fish,spoonily,Das Scurry Fish,Ahristophanes,Tevster
1545020723474,Servnt,Das Toona Fish,Kyara,spoonily,Das Scurry Fish
